"exec","numthreads","time"
"bimage_nothread","1","41.427663"
"bimage_nothread","2","41.495468"
"bimage_nothread","3","42.558892"
"bimage_nothread","4","41.347019"
"bimage_nothread","5","41.494123"
"bimage_nothread","6","41.404900"
"bimage_nothread","7","41.455725"
"bimage_nothread","8","41.460260"
"bimage_nothread","9","41.442034"
"bimage_nothread","10","41.449479"
"bimage_nothread","20","41.501165"
"bimage_nothread","30","41.385380"
"bimage_nothread","40","41.493639"
"bimage_nothread","50","41.435641"
"bimage_nothread","100","41.502990"
"bimage_thread","1","42.100376"
"bimage_thread","2","22.591239"
"bimage_thread","3","26.243618"
"bimage_thread","4","23.823019"
"bimage_thread","5","21.973163"
"bimage_thread","6","20.627877"
"bimage_thread","7","19.281265"
"bimage_thread","8","18.868471"
"bimage_thread","9","18.062988"
"bimage_thread","10","17.684500"
"bimage_thread","20","16.681381"
"bimage_thread","30","16.409837"
"bimage_thread","40","15.714694"
"bimage_thread","50","16.933075"
"bimage_thread","100","18.851837"
"bimage_threadpool","1","41.671582"
"bimage_threadpool","2","29.651598"
"bimage_threadpool","3","26.936400"
"bimage_threadpool","4","23.520179"
"bimage_threadpool","5","23.556756"
"bimage_threadpool","6","22.781987"
"bimage_threadpool","7","22.084392"
"bimage_threadpool","8","22.493190"
"bimage_threadpool","9","21.967860"
"bimage_threadpool","10","22.301454"
"bimage_threadpool","20","21.494385"
"bimage_threadpool","30","21.146864"
"bimage_threadpool","40","19.875026"
"bimage_threadpool","50","21.253133"
"bimage_threadpool","100","21.258576"
