"exec","numthreads","time"
"bimage_nothread","1","5.987866"
"bimage_nothread","2","5.898404"
"bimage_nothread","3","6.093523"
"bimage_nothread","4","5.937788"
"bimage_nothread","5","5.691316"
"bimage_nothread","6","5.826210"
"bimage_nothread","7","6.057566"
"bimage_nothread","8","6.059783"
"bimage_nothread","9","6.417611"
"bimage_nothread","10","5.964517"
"bimage_nothread","20","6.360023"
"bimage_nothread","30","6.059348"
"bimage_nothread","40","6.058691"
"bimage_nothread","50","6.043160"
"bimage_nothread","100","6.078416"
"bimage_nothread","300","5.703312"
"bimage_thread","1","5.386997"
"bimage_thread","2","3.233689"
"bimage_thread","3","2.248359"
"bimage_thread","4","1.997974"
"bimage_thread","5","2.055424"
"bimage_thread","6","2.050608"
"bimage_thread","7","1.975658"
"bimage_thread","8","1.976151"
"bimage_thread","9","1.872541"
"bimage_thread","10","1.926261"
"bimage_thread","20","1.956474"
"bimage_thread","30","1.880454"
"bimage_thread","40","1.838955"
"bimage_thread","50","1.800967"
"bimage_thread","100","1.981817"
"bimage_thread","300","3.435952"
"bimage_threadpool","1","4.836614"
"bimage_threadpool","2","2.735370"
"bimage_threadpool","3","2.155489"
"bimage_threadpool","4","2.565780"
"bimage_threadpool","5","2.364953"
"bimage_threadpool","6","2.496054"
"bimage_threadpool","7","2.421048"
"bimage_threadpool","8","2.436772"
"bimage_threadpool","9","2.338240"
"bimage_threadpool","10","2.390566"
"bimage_threadpool","20","2.572183"
"bimage_threadpool","30","2.478226"
"bimage_threadpool","40","2.384349"
"bimage_threadpool","50","2.571430"
"bimage_threadpool","100","2.902553"
"bimage_threadpool","300","3.856495"
"bimage_cuda","1","1.487330"
"bimage_cuda","2","1.242332"
"bimage_cuda","3","1.522542"
"bimage_cuda","4","1.494489"
"bimage_cuda","5","1.339534"
"bimage_cuda","6","1.269797"
"bimage_cuda","7","1.193712"
"bimage_cuda","8","1.471454"
"bimage_cuda","9","1.246341"
"bimage_cuda","10","1.303919"
"bimage_cuda","20","1.338729"
"bimage_cuda","30","1.247376"
"bimage_cuda","40","1.449640"
"bimage_cuda","50","1.584307"
"bimage_cuda","100","1.224342"
"bimage_cuda","300","1.468290"
