"exec","numthreads","time"
"bimage_nothread","1","4.50703548238801"
"bimage_nothread","2","4.50572531251148"
"bimage_nothread","3","4.48594240229393"
"bimage_nothread","4","4.51074538488724"
"bimage_nothread","5","4.47999068161938"
"bimage_nothread","6","4.47881988470622"
"bimage_nothread","7","4.50995776123893"
"bimage_nothread","8","4.48138466420873"
"bimage_nothread","9","4.48919641214444"
"bimage_nothread","10","4.5014697298668"
"bimage_nothread","20","4.4882430473375"
"bimage_nothread","30","4.49468806527725"
"bimage_nothread","40","4.48114502217607"
"bimage_nothread","50","4.50505918146078"
"bimage_nothread","100","4.47991173976551"
"bimage_nothread","300","4.48629593611873"
"bimage_thread","1","4.76470799844385"
"bimage_thread","2","9.05016142471261"
"bimage_thread","3","7.96970237943434"
"bimage_thread","4","9.10687648100579"
"bimage_thread","5","8.81741945875152"
"bimage_thread","6","9.09682478363202"
"bimage_thread","7","9.12344245730799"
"bimage_thread","8","9.24935474188982"
"bimage_thread","9","9.0069898744921"
"bimage_thread","10","9.00554471388033"
"bimage_thread","20","8.82765374352105"
"bimage_thread","30","8.54122071411153"
"bimage_thread","40","8.82530745164835"
"bimage_thread","50","8.0783851092743"
"bimage_thread","100","7.05760962055703"
"bimage_thread","300","4.74433265742407"
"bimage_threadpool","1","4.68388243267739"
"bimage_threadpool","2","5.35100115001933"
"bimage_threadpool","3","6.52969542235702"
"bimage_threadpool","4","6.32097666674673"
"bimage_threadpool","5","6.90140491899936"
"bimage_threadpool","6","6.87884620653988"
"bimage_threadpool","7","7.22915082779801"
"bimage_threadpool","8","7.244003263182"
"bimage_threadpool","9","7.29326599379805"
"bimage_threadpool","10","7.28983851185237"
"bimage_threadpool","20","7.82236045202292"
"bimage_threadpool","30","7.85718261074535"
"bimage_threadpool","40","8.30140520653066"
"bimage_threadpool","50","7.71259081736366"
"bimage_threadpool","100","7.30961023696294"
"bimage_threadpool","300","6.5781467387193"
