"exec","numthreads","time"
"bimage_nothread","1","9.63225688715398"
"bimage_nothread","2","9.6965077122467"
"bimage_nothread","3","9.7614691466601"
"bimage_nothread","4","9.82461546762079"
"bimage_nothread","5","9.72167760574135"
"bimage_nothread","6","9.7191371048785"
"bimage_nothread","7","9.69577039872733"
"bimage_nothread","8","9.63898568728703"
"bimage_nothread","9","9.71201079600069"
"bimage_nothread","10","9.86727106113916"
"bimage_nothread","20","9.87299267043834"
"bimage_nothread","30","9.70826289752636"
"bimage_nothread","40","9.85802213638587"
"bimage_nothread","50","9.8670400727385"
"bimage_nothread","100","9.88448333805592"
"bimage_nothread","300","9.81301030822387"
"bimage_thread","1","9.65922208150972"
"bimage_thread","2","21.835227190535"
"bimage_thread","3","27.4836171875671"
"bimage_thread","4","31.3314937046805"
"bimage_thread","5","27.1822000443659"
"bimage_thread","6","30.0122359886126"
"bimage_thread","7","31.5377234142182"
"bimage_thread","8","31.0547400868353"
"bimage_thread","9","31.6392834820213"
"bimage_thread","10","31.8058132120924"
"bimage_thread","20","33.4722804887846"
"bimage_thread","30","32.7800963625566"
"bimage_thread","40","32.1767188300438"
"bimage_thread","50","32.1632132979877"
"bimage_thread","100","30.0496991975028"
"bimage_thread","300","17.1325597402007"
"bimage_threadpool","1","13.2706109701926"
"bimage_threadpool","2","21.7175678799777"
"bimage_threadpool","3","28.8349297111343"
"bimage_threadpool","4","25.5898781454785"
"bimage_threadpool","5","24.915791890516"
"bimage_threadpool","6","25.3588038286046"
"bimage_threadpool","7","25.9026384146877"
"bimage_threadpool","8","25.3283445218833"
"bimage_threadpool","9","25.8496694807407"
"bimage_threadpool","10","24.5663179935034"
"bimage_threadpool","20","25.5828176245915"
"bimage_threadpool","30","24.9659074929492"
"bimage_threadpool","40","25.2865364955103"
"bimage_threadpool","50","23.8558937029088"
"bimage_threadpool","100","21.4101071227947"
"bimage_threadpool","300","15.5267874088312"
"bimage_cuda","1","33.5486898286076"
"bimage_cuda","2","34.1359714825818"
"bimage_cuda","3","33.8562936324748"
"bimage_cuda","4","33.6920828883639"
"bimage_cuda","5","33.6332758213659"
"bimage_cuda","6","34.1762175904081"
"bimage_cuda","7","33.8333488778775"
"bimage_cuda","8","33.4119814251658"
"bimage_cuda","9","33.8119823297453"
"bimage_cuda","10","33.5643736996952"
"bimage_cuda","20","33.3282239314478"
"bimage_cuda","30","33.9800867064209"
"bimage_cuda","40","34.0584867661067"
"bimage_cuda","50","32.9997816239451"
"bimage_cuda","100","33.3172420309114"
"bimage_cuda","300","33.5320151805021"
