"exec","split","numthread","time"
"bimage_cuda","0.4","100","25.2151800426893"
"bimage_cuda","0.4","300","15.3262616259273"
"bimage_cuda","0.5","1","19.2017573448322"
"bimage_cuda","0.5","2","24.8172416959441"
"bimage_cuda","0.5","3","35.9101456335956"
"bimage_cuda","0.5","4","34.4770322630322"
"bimage_cuda","0.5","5","39.8171331796834"
"bimage_cuda","0.5","6","44.658141923575"
"bimage_cuda","0.5","7","43.4832708986035"
"bimage_cuda","0.5","8","43.1392116740459"
"bimage_cuda","0.5","9","41.8969544405535"
"bimage_cuda","0.5","10","46.5081307839643"
"bimage_cuda","0.5","20","42.1052336103624"
"bimage_cuda","0.5","30","31.4025312533692"
"bimage_cuda","0.5","40","39.5827973162863"
"bimage_cuda","0.5","50","28.2572217217031"
"bimage_cuda","0.5","100","22.7347131788585"
"bimage_cuda","0.5","300","15.9062506793295"
"bimage_cuda","0.6","1","20.1598880723014"
"bimage_cuda","0.6","2","33.4916558330463"
"bimage_cuda","0.6","3","46.2600307166604"
"bimage_cuda","0.6","4","40.0505437862583"
"bimage_cuda","0.6","5","44.6566794484007"
"bimage_cuda","0.6","6","52.1649316030805"
"bimage_cuda","0.6","7","48.7355955855298"
"bimage_cuda","0.6","8","45.3504798458688"
"bimage_cuda","0.6","9","45.7357858894429"
"bimage_cuda","0.6","10","50.6291088686166"
"bimage_cuda","0.6","20","37.9128472105939"
"bimage_cuda","0.6","30","29.2728049787187"
"bimage_cuda","0.6","40","36.0320324768719"
"bimage_cuda","0.6","50","30.7004146090993"
"bimage_cuda","0.6","100","25.4427030327702"
"bimage_cuda","0.6","300","16.3346823966028"
"bimage_cuda","0.7","1","24.9581223505393"
"bimage_cuda","0.7","2","33.0499483869973"
"bimage_cuda","0.7","3","50.6237264968803"
"bimage_cuda","0.7","4","49.6701077013502"
"bimage_cuda","0.7","5","54.1698115251691"
"bimage_cuda","0.7","6","47.7040441103395"
"bimage_cuda","0.7","7","54.71661807527"
"bimage_cuda","0.7","8","51.1740172456438"
"bimage_cuda","0.7","9","52.0256625251349"
"bimage_cuda","0.7","10","54.6128766240504"
"bimage_cuda","0.7","20","47.7545416558887"
"bimage_cuda","0.7","30","39.8570725378792"
"bimage_cuda","0.7","40","40.4005308629755"
"bimage_cuda","0.7","50","35.0058955762466"
"bimage_cuda","0.7","100","26.6259585345072"
"bimage_cuda","0.7","300","14.3229984146828"
"bimage_cuda","0.8","1","33.1124914114475"
"bimage_cuda","0.8","2","41.4973631883807"
"bimage_cuda","0.8","3","52.5783088186968"
"bimage_cuda","0.8","4","56.3475516988787"
"bimage_cuda","0.8","5","63.5428978103117"
"bimage_cuda","0.8","6","49.867850196978"
"bimage_cuda","0.8","7","58.8507623135412"
"bimage_cuda","0.8","8","61.6963408928489"
"bimage_cuda","0.8","9","66.2419088268447"
"bimage_cuda","0.8","10","62.2623653057497"
"bimage_cuda","0.8","20","46.1911188335819"
"bimage_cuda","0.8","30","38.1625252906235"
"bimage_cuda","0.8","40","38.6005995959804"
"bimage_cuda","0.8","50","31.3439174777341"
"bimage_cuda","0.8","100","22.9195626489055"
"bimage_cuda","0.8","300","16.8860730423976"
"bimage_cuda","0.9","1","45.5124013708335"
"bimage_cuda","0.9","2","60.2515502221776"
"bimage_cuda","0.9","3","65.7418973111564"
"bimage_cuda","0.9","4","64.3654584912522"
"bimage_cuda","0.9","5","66.0864278303165"
"bimage_cuda","0.9","6","72.9807148461019"
"bimage_cuda","0.9","7","75.7731704883707"
"bimage_cuda","0.9","8","79.5810851676774"
