"exec","split","cudacores","numthread","time"
"bimage_cuda","0.1","256","2","22.8946639406753"
"bimage_cuda","0.1","256","3","28.6734103341838"
"bimage_cuda","0.1","256","4","28.8272498227124"
"bimage_cuda","0.1","256","5","27.6614970402198"
"bimage_cuda","0.1","256","6","29.9472628700858"
"bimage_cuda","0.1","256","7","30.3815620376306"
"bimage_cuda","0.1","256","8","31.5880746594674"
"bimage_cuda","0.1","256","9","32.8723173449687"
"bimage_cuda","0.1","256","10","28.6956534215502"
"bimage_cuda","0.1","256","20","29.7480046525879"
"bimage_cuda","0.1","256","30","29.90077428055"
"bimage_cuda","0.1","256","40","27.9724974405165"
"bimage_cuda","0.1","256","50","28.6884226913948"
"bimage_cuda","0.1","256","100","25.8668521032553"
"bimage_cuda","0.1","256","300","15.6352443423868"
"bimage_cuda","0.1","512","1","11.3222201968028"
"bimage_cuda","0.1","512","2","20.1477704645102"
"bimage_cuda","0.1","512","3","27.1226036614611"
"bimage_cuda","0.1","512","4","31.5193260747828"
"bimage_cuda","0.1","512","5","30.3286258251282"
"bimage_cuda","0.1","512","6","28.0246804018739"
"bimage_cuda","0.1","512","7","31.8657897909445"
"bimage_cuda","0.1","512","8","29.6954876221784"
"bimage_cuda","0.1","512","9","29.6250505477425"
"bimage_cuda","0.1","512","10","32.673652293527"
"bimage_cuda","0.1","512","20","36.5088975225671"
"bimage_cuda","0.1","512","30","28.7139591955497"
"bimage_cuda","0.1","512","40","27.3452169569513"
"bimage_cuda","0.1","512","50","27.9826731287986"
"bimage_cuda","0.1","512","100","25.8324173588678"
"bimage_cuda","0.1","512","300","15.5611990837566"
"bimage_cuda","0.2","1","1","12.8808740274135"
"bimage_cuda","0.2","1","2","19.5782646022039"
"bimage_cuda","0.2","1","3","27.0742972866139"
"bimage_cuda","0.2","1","4","26.3879164453014"
"bimage_cuda","0.2","1","5","25.7235829521241"
"bimage_cuda","0.2","1","6","27.1213041007864"
"bimage_cuda","0.2","1","7","27.407447334306"
"bimage_cuda","0.2","1","8","28.5666402583948"
"bimage_cuda","0.2","1","9","31.465852470253"
"bimage_cuda","0.2","1","10","27.9921118228883"
"bimage_cuda","0.2","1","20","34.6507950624927"
"bimage_cuda","0.2","1","30","25.4012981756788"
"bimage_cuda","0.2","1","40","23.5947831934359"
"bimage_cuda","0.2","1","50","20.0336230974319"
"bimage_cuda","0.2","1","100","16.6199415476656"
"bimage_cuda","0.2","1","300","10.8155384678059"
"bimage_cuda","0.2","64","1","11.4310165774508"
"bimage_cuda","0.2","64","2","22.5088600500372"
"bimage_cuda","0.2","64","3","29.194139568423"
"bimage_cuda","0.2","64","4","30.5501470480411"
"bimage_cuda","0.2","64","5","29.5358296688394"
"bimage_cuda","0.2","64","6","34.4874956962479"
"bimage_cuda","0.2","64","7","40.0550623590563"
"bimage_cuda","0.2","64","8","32.1086728736299"
"bimage_cuda","0.2","64","9","32.456028842591"
"bimage_cuda","0.2","64","10","32.6409818407338"
"bimage_cuda","0.2","64","20","35.5605919890284"
"bimage_cuda","0.2","64","30","28.19589947034"
"bimage_cuda","0.2","64","40","30.2444660188302"
"bimage_cuda","0.2","64","50","29.7573880155095"
"bimage_cuda","0.2","64","100","23.7134654542235"
"bimage_cuda","0.2","64","300","15.1886967743765"
"bimage_cuda","0.2","128","1","12.460805574466"
"bimage_cuda","0.2","128","2","21.5517086553817"
"bimage_cuda","0.2","128","3","27.9828036344065"
"bimage_cuda","0.2","128","4","28.976254442422"
"bimage_cuda","0.2","128","5","31.4002140447924"
"bimage_cuda","0.2","128","6","33.0398295144797"
"bimage_cuda","0.2","128","7","33.7263767809635"
"bimage_cuda","0.2","128","8","32.6210349132063"
"bimage_cuda","0.2","128","9","36.2727566206849"
"bimage_cuda","0.2","128","10","31.516975042758"
"bimage_cuda","0.2","128","20","32.3108214864809"
"bimage_cuda","0.2","128","30","31.3648902464078"
"bimage_cuda","0.2","128","40","27.9330129106386"
"bimage_cuda","0.2","128","50","28.8355900386493"
"bimage_cuda","0.2","128","100","26.5051033367716"
"bimage_cuda","0.2","128","300","15.4390717618348"
"bimage_cuda","0.2","192","1","13.501097976793"
"bimage_cuda","0.2","192","2","20.5901126279161"
"bimage_cuda","0.2","192","3","28.807056576579"
"bimage_cuda","0.2","192","4","28.3594082336815"
"bimage_cuda","0.2","192","5","28.4826576218405"
"bimage_cuda","0.2","192","6","31.5078391503806"
"bimage_cuda","0.2","192","7","33.5980486253358"
"bimage_cuda","0.2","192","8","30.7787800830514"
"bimage_cuda","0.2","192","9","31.5372020719942"
"bimage_cuda","0.2","192","10","31.0867782232974"
"bimage_cuda","0.2","192","20","35.0427989384368"
"bimage_cuda","0.2","192","30","28.8624722439225"
"bimage_cuda","0.2","192","40","27.895753568913"
"bimage_cuda","0.2","192","50","26.1935757636082"
"bimage_cuda","0.2","192","100","26.4243727844815"
"bimage_cuda","0.2","192","300","15.6204196373668"
"bimage_cuda","0.2","256","1","11.6372212643065"
"bimage_cuda","0.2","256","2","22.0982103396053"
"bimage_cuda","0.2","256","3","30.7892674771428"
"bimage_cuda","0.2","256","4","33.1491895851876"
"bimage_cuda","0.2","256","5","27.71441953534"
"bimage_cuda","0.2","256","6","34.2301245634233"
"bimage_cuda","0.2","256","7","33.1760787201996"
"bimage_cuda","0.2","256","8","32.9396857883373"
"bimage_cuda","0.2","256","9","33.5622840476786"
"bimage_cuda","0.2","256","10","34.3877574998266"
"bimage_cuda","0.2","256","20","35.7824214083842"
"bimage_cuda","0.2","256","30","33.5457337374476"
"bimage_cuda","0.2","256","40","29.8395675649869"
"bimage_cuda","0.2","256","50","30.0674864733895"
